product_number,product_id,product_code,product_name,match_status,source_count,additional_images_found,confirmed_model_found,aquavo_ready,folder
Product_017,AQUAVO-Research-017,C4-1067,3W oil film processor,غير مؤكد,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_017_C4-1067_3W_oil_film_processor
Product_018,AQUAVO-Research-018,LED-318,"Yee three-color adjustable 3.5W double-row wide-angle light, 27cm",تطابق محتمل,2,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_018_LED-318_Yee_three-color_adjustable_3.5W_double-row_w
Product_019,AQUAVO-Research-019,CLS-107,"Aquarium magnetic cleaning brush, large size, blue, strong magnet.",تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_019_CLS-107_Aquarium_magnetic_cleaning_brush_large_size_
Product_020,AQUAVO-Research-020,YEE-3656,1.0 meter of 16mm reinforced plastic tubing,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_020_YEE-3656_1.0_meter_of_16mm_reinforced_plastic_tubing
Product_021,AQUAVO-Research-021,YKK-60,600x300x350mm 5mm thick,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_021_YKK-60_600x300x350mm_5mm_thick
Product_022,AQUAVO-Research-022,C5-1123,Bare side stream tank 60*15*15cm 6mm water pump,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_022_C5-1123_Bare_side_stream_tank_60x15x15cm_6mm_water_p
Product_023,AQUAVO-Research-023,C1-1113,Yee Small Fish Feed All-in-One 0.6mm 75g,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_023_C1-1113_Yee_Small_Fish_Feed_All-in-One_0.6mm_75g
Product_024,AQUAVO-Research-024,C1-1127,Goldfish Orchid Longevity Jade Fungus + Spirulina Color Yang Compound Feed 290g Slow Sinking 3.0mm,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_024_C1-1127_Goldfish_Orchid_Longevity_Jade_Fungus_Spirul
Product_025,AQUAVO-Research-025,C1-1073,Betta fish food 0.8mm 130g New,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_025_C1-1073_Betta_fish_food_0.8mm_130g_New
Product_026,AQUAVO-Research-026,C1-1082,Imitation red worm feed 0.5mm 115g,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_026_C1-1082_Imitation_red_worm_feed_0.5mm_115g
Product_027,AQUAVO-Research-027,C1-1065,Floating Grain - Competition Grade 45% High Protein [1.5mm Small Particles] 300g Bag,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_027_C1-1065_Floating_Grain_-_Competition_Grade_45_High_P
Product_028,AQUAVO-Research-028,C1-1066,【40% High Protein】Special Food for Ornamental Shrimp 260g,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_028_C1-1066_40_High_Protein_Special_Food_for_Ornamental_
Product_029,AQUAVO-Research-029,YYY-078,New Shelled Eggs (80g 150ml) White Bottle + Feeder,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_029_YYY-078_New_Shelled_Eggs_80g_150ml_White_Bottle_Feed
Product_030,AQUAVO-Research-030,C1-1125,Yee Aqua-Hermit Crab Freeze-Dried Feast 55g,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_030_C1-1125_Yee_Aqua-Hermit_Crab_Freeze-Dried_Feast_55g
Product_031,AQUAVO-Research-031,C1-1069,Fish feed with coated paper hanger,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_031_C1-1069_Fish_feed_with_coated_paper_hanger
Product_032,AQUAVO-Research-032,C1-1082,【All-in-one】Microparticles/0.2mm/210g,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_032_C1-1082_All-in-one_Microparticles_0.2mm_210g
Product_033,AQUAVO-Research-033,C1-1134,"Ranchu goldfish formulated feed, 1.5mm diameter, sinks 500g per bag.",تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_033_C1-1134_Ranchu_goldfish_formulated_feed_1.5mm_diamet
Product_034,AQUAVO-Research-034,C1-1086,Yee Aquarium Freeze-dried Brine Shrimp Chunks 18g 225ml,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_034_C1-1086_Yee_Aquarium_Freeze-dried_Brine_Shrimp_Chunk
Product_035,AQUAVO-Research-035,C1-1124,Yee Brand 3-in-1 Betta Fish Food 15g,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_035_C1-1124_Yee_Brand_3-in-1_Betta_Fish_Food_15g
Product_036,AQUAVO-Research-036,YYH-125,White Spot Cleaner 300ml,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_036_YYH-125_White_Spot_Cleaner_300ml
Product_037,AQUAVO-Research-037,YYH-207,Methylene blue solution 600ml,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_037_YYH-207_Methylene_blue_solution_600ml
Product_038,AQUAVO-Research-038,YYH-006,Bactericidal/antibacterial/instant powder 2g/bag × 10 bags [1 box],غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_038_YYH-006_Bactericidal_antibacterial_instant_powder_2g
Product_039,AQUAVO-Research-039,c2-1016,Yee Aquarium Cleansing Ammonia Series Active Probiotics 760ml,تطابق قوي جدًا,1,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_039_c2-1016_Yee_Aquarium_Cleansing_Ammonia_Series_Active
Product_040,AQUAVO-Research-040,YYH-039,Yee Blue Classic-Chlorine Removal Water Stabilizer 535ml,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_040_YYH-039_Yee_Blue_Classic-Chlorine_Removal_Water_Stab
Product_041,AQUAVO-Research-041,YYH-173,Anti-stress water stabilizer 500ml New style,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_041_YYH-173_Anti-stress_water_stabilizer_500ml_New_style
Product_042,AQUAVO-Research-042,C3-1010,【Ammonia nitrogen tester】can test about 60 times/accurate and fast,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_042_C3-1010_Ammonia_nitrogen_tester_can_test_about_60_ti
Product_043,AQUAVO-Research-043,C4-1123,[Novice Level 50] 9-in-1/Bucket/With Comparison Chart,تطابق قوي جدًا,3,لا,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_043_C4-1123_Novice_Level_50_9-in-1_Bucket_With_Compariso
Product_044,AQUAVO-Research-044,C2-1005,Yee Aquarium Nitrifying Bacteria + Probiotics Capsules 50 capsules,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_044_C2-1005_Yee_Aquarium_Nitrifying_Bacteria_Probiotics_
Product_045,AQUAVO-Research-045,YYH-189,Algaecide 500ml New Style,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_045_YYH-189_Algaecide_500ml_New_Style
Product_046,AQUAVO-Research-046,YYH-216,Anti-stress water stabilizer 1000ml New style,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_046_YYH-216_Anti-stress_water_stabilizer_1000ml_New_styl
Product_047,AQUAVO-Research-047,YAN-804,Multivitamin mineral salt 500g,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_047_YAN-804_Multivitamin_mineral_salt_500g
Product_048,AQUAVO-Research-048,YAN-915,500G Multivitamin Salt Box YAN-915,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_048_YAN-915_500G_Multivitamin_Salt_Box_YAN-915
Product_049,AQUAVO-Research-049,YYH-053,Yee Blue Classic-Methylene Blue Solution 235ml,تطابق قوي جدًا,1,لا,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_049_YYH-053_Yee_Blue_Classic-Methylene_Blue_Solution_235
Product_050,AQUAVO-Research-050,C4-1123,【Refill】9 in 1/Refill/50 pieces,تطابق قوي جدًا,3,لا,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_050_C4-1123_Refill_9_in_1_Refill_50_pieces
Product_051,AQUAVO-Research-051,YFF-049,Water grass mud fertility upgrade fine grain 1.5L,تطابق قوي جدًا,3,صور محتملة فقط,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_051_YFF-049_Water_grass_mud_fertility_upgrade_fine_grain
Product_052,AQUAVO-Research-052,PYD-200,Fish tank descaling agent 200ml,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_052_PYD-200_Fish_tank_descaling_agent_200ml
Product_053,AQUAVO-Research-053,YEE-3606,External electronic thermometer,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_053_YEE-3606_External_electronic_thermometer
